BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
14,23.09.21,104251898701(AEV0168127I),VP,HẠT ĐIỀU BAO,KG,,50220,,,,,50220,2 CONT,50220
15,02.10.21,104271753721(AEV0168120E),OB,HẠT ĐIỀU BAO,KG,,127900,,,,,127900,5 CONT,127900
16,04.10.21,104269594811(BCU0106814),CV,HẠT ĐIỀU BAO,KG,,80050,,,,,80050,3 CONT,80050
17,09.10.21,104282467811(AFIC/SIN/204675),BBN,HẠT ĐIỀU BAO,KG,,153390,,,,,153390,6 CONT,153390
18,14.10.21,104290808861(AFIC/SIN/204508),BBN,HẠT ĐIỀU BAO,KG,,24270,,,,,24270,1 CONT,24270
19,18.12.21,104417180011(RILSIN2021018640),BBN,HẠT ĐIỀU BAO,KG,540510,542170,,,,,542170,20 CONT,542170
20,20.12.21,104424078361(AFIC/SIN/204840),BBN,HẠT ĐIỀU BAO,KG,105050,106410,,,,,106410,4 CONT,106410
21,23.12.21,104431156212(AEV0171495A),CV,HẠT ĐIỀU BAO,KG,248330,249440,,,,,249440,10 CONT,249440
22,27.01.22,104503433901 (DKA0144370B),BBN,HẠT ĐIỀU BAO,KG,260280,261290,,,,254300,6990,10 CONT,261290
23,07.05.22,104693384501(OOLU4052965780),OB,HẠT ĐIỀU BAO,KG,219730,219530,,,,,219530,8 CONT,219530
24,19.10.21,104293472841(211812888),BBN,HẠT ĐIỀU BAO,KG,,386130,,,,,386130,Kho 3.2 chuyển,386130
25,18.10.21,104299473351(211770741),OB,HẠT ĐIỀU BAO,KG,,25300,,,,,25300,Kho 3.2 chuyển,Kho 3.2 chuyển
26,05.11.21,104330369361(MEDUCN020812),BBN,HẠT ĐIỀU BAO,KG,,55140,,,,,55140,Kho 3.2 chuyển,55140
27,19.05.22,104713764521(ONEYLOSC00442300),CV,HẠT ĐIỀU BAO,KG,114690,116560,,,,,116560,Kho 3.2 chuyển,
28,25.10.21,104312133111(AEV0170503G),BIVC,HẠT ĐIỀU BAO,KG,,432010,,,,,432010,chuyển qua 2.1,432010
29,09.12.21,104399110911(213189899),BBN,HẠT ĐIỀU BAO,KG,54120,54390,,,,,54390,2 CONT ,54390
30,25.05.22,104727514401(ONEYTEMC00712801),OB,HẠT ĐIỀU BAO,KG,53040,51870,,,,,51870,Chuyển qua 2.1,
31,22.10.21,104305029251(AEV0170079H),BIVC,HẠT ĐIỀU BAO,KG,,50280,,,,,50280,Chuyển qua 2.2,50280
32,21.10.21,104304699111(ONEYABJB00327801),VP,HẠT ĐIỀU BAO,KG,,78530,,,,,78530,3 CONT,78530
33,27.10.21,104309592111(AFIC/SIN/204662),BBN,HẠT ĐIỀU BAO,KG,,25080,,,,,25080,1 CONT,25080
34,26.10.21,104308158511(AFIC/SIN/204694A),BBN,HẠT ĐIỀU BAO,KG,,26050,,,,,26050,1 CONT,26050
35,15.07.22,104829657811(PAROSED4),VP,HẠT ĐIỀU BAO,KG,548150,547490,,,,,547490,PACIFIC ROSE,
29,12.02.22,104520872041(COSU6314216340),BBN,HẠT ĐIỀU BAO,KG,245000,245210,,,,241320,3890,9 CONT,245210
,27.07.22,104867634651(ONEYTEMC01288300),OB,HẠT ĐIỀU BAO,KG,266970,268180,,,,,268180,10 CONT,
,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,
,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,
,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,
37,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,0
TỔNG SẢN LƯỢNG,,,,,,2655870,7152650,,,,,6558910,,6143250
