BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
13,01.12.21,104384544501(AEV0172025),CV,HẠT ĐIỀU BAO,KG,,25730,,,,,25730,1 CONT ,25730
14,08.12.21,104396609811(AEV0171000F),CV,HẠT ĐIỀU BAO,KG,78065,78590,,,,,78590,3 CONT ,78590
15,09.12.21,104398977651(213110193),BBN,HẠT ĐIỀU BAO,KG,28480,28580,,,,,28580,1 CONT ,28580
16,10.12.21,104401786201(AEV0169572C),BIVC,HẠT ĐIỀU BAO,KG,96660,97590,,,,,97590,4 CONT ,97590
17,22.12.21,104432278311(MEDUPD123014),CV,HẠT ĐIỀU BAO,KG,512018,514400,,,,,514400,20 CONT ,514400
18,25.12.21,104432783561(AEV0170513A),CV,HẠT ĐIỀU BAO,KG,168470,169990,,,,,169990,7 CONT ,169990
19,15.01.22,104467090231(GREENTECA6),VP,HẠT ĐIỀU BAO,KG,351830,351590,,,,313960,37630,GREENTEC,351590
20,10.02.22,104512906041(AEV0171695J),OB,HẠT ĐIỀU BAO,KG,73800,74190,,,,,74190,3 CONT ,74190
21,07.05.22,104692023921(OOLU4052951100),OB,HẠT ĐIỀU BAO,KG,458280,460290,,,,,460290,17 CONT,460290
22,24.05.22,104727344961(ONEYLOSC00814600),CV,HẠT ĐIỀU BAO,KG,114690,115100,,,,,115100,4 CONT ,115100
23,05.11.21,104330171261(MEDUCN021000),BBN,HẠT ĐIỀU BAO,KG,,193990,,,,,193990,Chuyển qua 3.1,193990
24,14.10.21,104292657011(211144872),CV,HẠT ĐIỀU BAO,KG,,275870,,,,,275870,10 CONT,275870
25,13.10.21,104291718861(211411527),CV,HẠT ĐIỀU BAO,KG,,249790,,,,,249790,9 CONT 3.2-3.1,249790
26,15.10.21,104295085531(AEV0169571C),BIVC,HẠT ĐIỀU BAO,KG,,158920,,,,,158920,6 CONT,158920
27,16.10.21,104296618861(AEV0170082C),BIVC,HẠT ĐIỀU BAO,KG,,252000,,,,,252000,10 CONT,252000
28,26.10.21,104310133911(AFIC/SIN/204718A),BBN,HẠT ĐIỀU BAO,KG,,27140,,,,,27140,1 CONT,27140
29,26.10.21,104312608041(AEV0170222),VP,HẠT ĐIỀU BAO,KG,,26950,,,,,26950,1 CONT,26950
30,02.11.21,104327172021(20989092K),CV,HẠT ĐIỀU BAO,KG,,73700,,,,,73700,3 CONT,73700
32,16.10.21,104294982411(AEV0168477E),BIVC,HẠT ĐIỀU BAO,KG,,145300,,,,,145300,6 CONT 3.2-3.1,145300
37,29.07.22,104867907801(ONEYTEMC01288301),OB,HẠT ĐIỀU BAO,KG,217660,218260,,,,213850,4410,8 CONT,218260
39,03.08.22,104883407641(COSU6338195210),OB,HẠT ĐIỀU BAO,KG,265650,266770,,,,,266770,,266770
40,23.08.22,104916642351(ONEYABJC00404501),OB,HẠT ĐIỀU BAO,KG,104480,105250,,,,,105250,4 CONT,105250
41,26.08.22,104929485841(218247451),VP,HẠT ĐIỀU BAO,KG,203240,204620,,,,,204620,8 CONT,204620
42,05.10.22,105010483651(219049985),VP,HẠT ĐIỀU BAO,KG,520510,524660,,,,,524660,20 CONT ,524660
43,13.10.22,105027016511(COSU6341421870),OB,HẠT ĐIỀU BAO,KG,221840,222420,,,,,222420,8 CONT,222420
44,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,
45,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,
46,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,
47,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,0
TỔNG SẢN LƯỢNG,,,,,,3415673,7779060,,,,,7251250,,7779060
