BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
13,30.09.21,104262170461(210809527),BBN,HẠT ĐIỀU BAO,KG,,596090,,,,571230,24860,36 CONT,596090
14,04.10.21,104277426041(AEV0169487),OB,HẠT ĐIỀU BAO,KG,,102710,,,,,102710,4 CONT,102710
15,07.10.21,104280488761(COSU6304508750),CV,HẠT ĐIỀU BAO,KG,,172020,,,,,172020,7 CONT,172020
16,10.10.21,104285430431(AEV0168123D),BIVC,HẠT ĐIỀU BAO,KG,,432390,,,,,432390,17 CONT,432390
17,06.05.22,104680026361(AFIC/NIG/202634A),CV,HẠT ĐIỀU BAO,KG,302570,303170,,,,,303170,11 CONT,303170
18,23.05.22,104727253042(ONEYLOSC00724600),VP,HẠT ĐIỀU BAO,KG,449812,449510,,,,,449510,16 CONT,449510
19,07.11.21,104336461021(212286775),OB,HẠT ĐIỀU BAO,KG,,737520,,,,,737520,Kho 3.2 chuyển,737520
20,30.10.21,104321984321(AEV0170976),BIVC,HẠT ĐIỀU BAO,KG,,26080,,,,,26080,Kho 3.2 chuyển,
21,09.09.21,104226511541 (TMA0124924),OB,HẠT ĐIỀU BAO,KG,,1029290,,,,235900,793390,Kho 3.2 chuyển,1029290
22,16.10.21,104295332741(AEV0169571B),BIVC,HẠT ĐIỀU BAO,KG,,130720,,,,,130720,Kho 3.2 chuyển,130720
23,28.10.21,104314196011(212031581),BBN,HẠT ĐIỀU BAO,KG,,78230,,,,,78230,Kho 3.2 chuyển,78230
24,31.10.21,104323345121(213965146),CAVI ,HẠT ĐIỀU BAO,KG,,75870,,,,,75870,Kho 3.2 chuyển,75870
25,04.11.21,104329328501(AFIC/SIN/204652A),BBN,HẠT ĐIỀU BAO,KG,,53120,,,,,53120,Kho 3.2 chuyển,53120
26,01.12.21,104380649441(AEV0170975),BIVC,HẠT ĐIỀU BAO,KG,,25500,,,,,25500,Kho 3.2 chuyển,25500
27,09.02.22,104512739001(AEV0171695G),OB,HẠT ĐIỀU BAO,KG,248850,251010,,,,,251010,10 CONT,251010
28,13.02.22,104521233721(MEDUAB202490),OB,HẠT ĐIỀU BAO,KG,25600,25800,,,,,25800,1 CONT 3.2-2.3,25800
29,26.08.22,104929364151(217986167),VP,HẠT ĐIỀU BAO,KG,443197,445090,,,,,445090,17 CONT,
30,05.10.22,105010729021(219347877),VP,HẠT ĐIỀU BAO,KG,425500,423590,,,,,423590,16 CONT,4970 bao
31,08.10.22,105018586411(AFIC/SIN/206558),VP,HẠT ĐIỀU BAO,KG,158150,159250,,,,,159250,6 CONT,
32,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
33,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
34,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
35,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
36,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
37,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
38,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,0
TỔNG SẢN LƯỢNG,,,,,,2053679,9831690,,,,,7645220,,8777680
