,BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
41,39,17.10.21,104298375861(208604629),VP,HẠT ĐIỀU BAO,KG,,51200,,,,50240,960,2 CONT,51200,
42,40,12.02.22,104521293221(MEDUAB202482),OB,HẠT ĐIỀU BAO,KG,26390,26460,,,,,26460,1 CONT,26460,
43,41,14.02.22,104518170151(OOLU4052482430),OB,HẠT ĐIỀU BAO,KG,274300,276010,,,,270110,5900,,10 CONT,5900
44,42,29.07.22,104875441051(217482590),VP,HẠT ĐIỀU BAO,KG,525050,519880,,,,,519880,,20 CONT,
45,43,10.08.22,104897217611(MEDUAB268020),VP,HẠT ĐIỀU BAO,KG,488910,492830,,,,,492830,,20 CONT,
46,44,10.08.22,104896928032(MEDUAB268038),VP,HẠT ĐIỀU BAO,KG,500120,503370,,,,,503370,,20 CONT,
47,45,16.08.22,104907368311( LGS0165143D),VP,HẠT ĐIỀU BAO,KG,26490,26530,,,,,26530,,1 CONT,26530
48,47,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,,
49,48,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,,
50,49,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,,
51,50,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,,
52,51,,,,HẠT ĐIỀU BAO,KG,,,,,,,,,,
53,52,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,0,,0
54,TỔNG SẢN LƯỢNG,,,,,,6251893,10592820,0,0,0,1880090,8712730,0,,7169230
