,BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
37,34,27.11.21,104380090951(MEDUPD123790),VP,HẠT ĐIỀU BAO,KG,,334720,,,,,334720,13 CONT,ĐẢO KHO 2.2
38,35,31.10.21,104309871151(AFIC/SIN/204752),BBN,HẠT ĐIỀU BAO,KG,,531910,,,,,531910,KHO 3.2 - 2.2,531910
39,36,14.10.21,104296265951(AEV0168477F),BIVC,HẠT ĐIỀU BAO,KG,,290520,,,,,290520,12 CONT 3.2-2.2,290520
40,37,15.10.21,104295626301(AEV0169571A),BIVC,HẠT ĐIỀU BAO,KG,,151290,,,,,151290,6 CONT,151290
41,38,20.12.21,104424075931(AFIC/SIN/204839),BBN,HẠT ĐIỀU BAO,KG,443150,448920,,,,,448920,17 CONT 3.2-2.2,448920
42,39,28.07.22,104869335911(ONEYTEMC01338601),OB,HẠT ĐIỀU BAO,KG,153750,152070,,,,,152070,6 CONT,
43,40,16.08.22,104909329341( AEV0181325),VP,HẠT ĐIỀU BAO,KG,56290,57070,,,,,57070,2 CONT,
44,41,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,
45,42,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,0
46,43,,,,HẠT ĐIỀU BAO,KG,,,,,,,0,,0
47,TỔNG SẢN LƯỢNG,,,,,,1776820,10428140,,,,,9742470,,9884280
